hour,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion
2017-01-01 00:00:00,34,0,0,0,0
2017-01-01 01:00:00,17,1,0,0,0
2017-01-01 02:00:00,11,1,0,0,0
2017-01-01 03:00:00,16,0,0,0,0
2017-01-01 04:00:00,12,1,0,0,0
2017-01-01 05:00:00,18,0,0,0,0
2017-01-01 06:00:00,28,1,1,1,0.03571
2017-01-01 07:00:00,30,2,0,0,0
2017-01-01 08:00:00,47,3,2,1,0.02127
2017-01-01 09:00:00,75,4,3,3,0.04
2017-01-01 10:00:00,79,8,3,2,0.02531
2017-01-01 11:00:00,82,2,2,2,0.02439
2017-01-01 12:00:00,101,6,1,0,0
2017-01-01 13:00:00,111,9,5,4,0.03603
2017-01-01 14:00:00,104,13,5,2,0.01923
2017-01-01 15:00:00,104,4,0,0,0
2017-01-01 16:00:00,122,6,2,2,0.01639
2017-01-01 17:00:00,103,10,6,5,0.04854
2017-01-01 18:00:00,140,14,10,6,0.04285
2017-01-01 19:00:00,137,10,4,3,0.02189
2017-01-01 20:00:00,107,5,5,1,0.00934
2017-01-01 21:00:00,118,11,8,5,0.04237
2017-01-01 22:00:00,71,4,2,1,0.01408
2017-01-01 23:00:00,51,1,1,0,0
2017-01-02 00:00:00,45,1,0,0,0
2017-01-02 01:00:00,33,3,1,1,0.0303
2017-01-02 02:00:00,28,2,1,0,0
2017-01-02 03:00:00,16,0,0,0,0
2017-01-02 04:00:00,16,1,1,0,0
2017-01-02 05:00:00,26,2,2,1,0.03846
2017-01-02 06:00:00,46,5,2,1,0.02173
2017-01-02 07:00:00,70,6,4,3,0.04285
2017-01-02 08:00:00,69,1,0,0,0
2017-01-02 09:00:00,78,4,0,0,0
2017-01-02 10:00:00,113,8,5,4,0.03539
2017-01-02 11:00:00,138,8,3,3,0.02173
2017-01-02 12:00:00,106,6,4,4,0.03773
2017-01-02 13:00:00,105,9,6,2,0.01904
2017-01-02 14:00:00,107,7,7,2,0.01869
2017-01-02 15:00:00,106,7,2,2,0.01886
2017-01-02 16:00:00,126,5,1,1,0.00793
2017-01-02 17:00:00,146,13,11,8,0.05479
2017-01-02 18:00:00,162,9,7,6,0.03703
2017-01-02 19:00:00,177,11,7,5,0.02824
2017-01-02 20:00:00,143,12,7,5,0.03496
2017-01-02 21:00:00,112,8,5,1,0.00892
2017-01-02 22:00:00,97,9,5,2,0.02061
2017-01-02 23:00:00,52,2,1,0,0
2017-01-03 00:00:00,40,5,3,0,0
2017-01-03 01:00:00,20,1,1,1,0.05
2017-01-03 02:00:00,20,2,1,0,0
2017-01-03 03:00:00,17,0,0,0,0
2017-01-03 04:00:00,35,3,1,1,0.02857
2017-01-03 05:00:00,45,1,0,0,0
2017-01-03 06:00:00,41,1,1,1,0.02439
2017-01-03 07:00:00,44,4,3,2,0.04545
2017-01-03 08:00:00,77,5,2,1,0.01298
2017-01-03 09:00:00,77,7,5,4,0.05194
2017-01-03 10:00:00,115,8,7,5,0.04347
2017-01-03 11:00:00,92,9,5,0,0
2017-01-03 12:00:00,127,9,4,1,0.00787
2017-01-03 13:00:00,109,9,6,6,0.05504
2017-01-03 14:00:00,108,12,7,3,0.02777
2017-01-03 15:00:00,81,8,4,2,0.02469
2017-01-03 16:00:00,126,11,6,5,0.03968
2017-01-03 17:00:00,148,12,9,6,0.04054
2017-01-03 18:00:00,145,8,6,6,0.04137
2017-01-03 19:00:00,130,7,2,2,0.01538
2017-01-03 20:00:00,129,8,4,1,0.00775
2017-01-03 21:00:00,71,9,4,3,0.04225
2017-01-03 22:00:00,83,5,3,3,0.03614
2017-01-03 23:00:00,47,4,0,0,0
2017-01-04 00:00:00,40,2,0,0,0
2017-01-04 01:00:00,23,0,0,0,0
2017-01-04 02:00:00,26,1,0,0,0
2017-01-04 03:00:00,22,0,0,0,0
2017-01-04 04:00:00,25,2,2,2,0.08
2017-01-04 05:00:00,46,6,5,4,0.08695
2017-01-04 06:00:00,46,2,1,1,0.02173
2017-01-04 07:00:00,74,5,5,3,0.04054
2017-01-04 08:00:00,73,7,5,4,0.05479
2017-01-04 09:00:00,70,4,1,0,0
2017-01-04 10:00:00,84,5,3,2,0.0238
2017-01-04 11:00:00,97,9,2,2,0.02061
2017-01-04 12:00:00,103,7,5,4,0.03883
2017-01-04 13:00:00,137,12,10,5,0.03649
2017-01-04 14:00:00,116,6,3,2,0.01724
2017-01-04 15:00:00,104,11,7,6,0.05769
2017-01-04 16:00:00,99,9,4,4,0.0404
2017-01-04 17:00:00,130,5,0,0,0
2017-01-04 18:00:00,138,18,8,6,0.04347
2017-01-04 19:00:00,133,12,5,3,0.02255
2017-01-04 20:00:00,127,8,6,3,0.02362
2017-01-04 21:00:00,106,6,2,1,0.00943
2017-01-04 22:00:00,72,6,3,2,0.02777
2017-01-04 23:00:00,44,3,0,0,0
2017-01-05 00:00:00,34,4,1,1,0.02941
2017-01-05 01:00:00,21,2,1,1,0.04761
2017-01-05 02:00:00,22,0,0,0,0
2017-01-05 03:00:00,23,3,1,0,0
2017-01-05 04:00:00,26,1,1,1,0.03846
2017-01-05 05:00:00,55,3,2,1,0.01818
2017-01-05 06:00:00,61,5,3,3,0.04918
2017-01-05 07:00:00,70,6,4,3,0.04285
2017-01-05 08:00:00,82,6,2,1,0.01219
2017-01-05 09:00:00,79,7,4,3,0.03797
2017-01-05 10:00:00,95,5,1,1,0.01052
2017-01-05 11:00:00,108,5,5,4,0.03703
2017-01-05 12:00:00,120,7,7,5,0.04166
2017-01-05 13:00:00,122,3,2,2,0.01639
2017-01-05 14:00:00,118,4,2,1,0.00847
2017-01-05 15:00:00,121,10,7,4,0.03305
2017-01-05 16:00:00,128,11,5,1,0.00781
2017-01-05 17:00:00,141,11,6,6,0.04255
2017-01-05 18:00:00,176,13,5,4,0.02272
2017-01-05 19:00:00,143,12,7,5,0.03496
2017-01-05 20:00:00,124,10,5,2,0.01612
2017-01-05 21:00:00,85,5,2,1,0.01176
2017-01-05 22:00:00,78,8,2,1,0.01282
2017-01-05 23:00:00,39,0,0,0,0
2017-01-06 00:00:00,29,3,2,0,0
2017-01-06 01:00:00,27,4,1,0,0
2017-01-06 02:00:00,20,2,1,0,0
2017-01-06 03:00:00,28,0,0,0,0
2017-01-06 04:00:00,34,4,3,2,0.05882
2017-01-06 05:00:00,57,5,5,4,0.07017
2017-01-06 06:00:00,65,1,1,1,0.01538
2017-01-06 07:00:00,62,4,3,1,0.01612
2017-01-06 08:00:00,104,8,7,7,0.0673
2017-01-06 09:00:00,87,6,2,1,0.01149
2017-01-06 10:00:00,98,9,5,3,0.03061
2017-01-06 11:00:00,119,8,4,1,0.0084
2017-01-06 12:00:00,118,11,6,4,0.03389
2017-01-06 13:00:00,113,6,5,5,0.04424
2017-01-06 14:00:00,103,7,1,0,0
2017-01-06 15:00:00,102,6,5,2,0.0196
2017-01-06 16:00:00,110,6,4,0,0
2017-01-06 17:00:00,107,10,3,1,0.00934
2017-01-06 18:00:00,119,8,5,3,0.02521
2017-01-06 19:00:00,93,9,5,4,0.04301
2017-01-06 20:00:00,98,6,0,0,0
2017-01-06 21:00:00,85,6,4,2,0.02352
2017-01-06 22:00:00,65,6,3,2,0.03076
2017-01-06 23:00:00,46,5,2,0,0
2017-01-07 00:00:00,38,1,0,0,0
2017-01-07 01:00:00,28,4,3,2,0.07142
2017-01-07 02:00:00,27,1,1,0,0
2017-01-07 03:00:00,11,1,1,1,0.0909
2017-01-07 04:00:00,14,0,0,0,0
2017-01-07 05:00:00,31,2,2,1,0.03225
2017-01-07 06:00:00,44,4,4,2,0.04545
2017-01-07 07:00:00,69,10,6,4,0.05797
2017-01-07 08:00:00,75,6,4,2,0.02666
2017-01-07 09:00:00,81,7,4,2,0.02469
2017-01-07 10:00:00,104,11,7,4,0.03846
2017-01-07 11:00:00,99,12,10,6,0.0606
2017-01-07 12:00:00,99,2,1,0,0
2017-01-07 13:00:00,98,7,4,3,0.03061
2017-01-07 14:00:00,108,12,9,6,0.05555
2017-01-07 15:00:00,110,11,7,5,0.04545
2017-01-07 16:00:00,98,9,5,5,0.05102
2017-01-07 17:00:00,94,7,4,2,0.02127
2017-01-07 18:00:00,114,10,8,5,0.04385
2017-01-07 19:00:00,97,9,8,7,0.07216
2017-01-07 20:00:00,99,5,5,2,0.0202
2017-01-07 21:00:00,94,7,3,2,0.02127
2017-01-07 22:00:00,73,9,5,4,0.05479
2017-01-07 23:00:00,53,11,7,4,0.07547
2017-01-08 00:00:00,41,1,0,0,0
2017-01-08 01:00:00,22,1,0,0,0
2017-01-08 02:00:00,21,0,0,0,0
2017-01-08 03:00:00,19,1,0,0,0
2017-01-08 04:00:00,18,2,1,1,0.05555
2017-01-08 05:00:00,35,3,2,1,0.02857
2017-01-08 06:00:00,48,3,2,1,0.02083
2017-01-08 07:00:00,58,3,2,1,0.01724
2017-01-08 08:00:00,87,4,2,2,0.02298
2017-01-08 09:00:00,84,5,3,2,0.0238
2017-01-08 10:00:00,89,6,2,2,0.02247
2017-01-08 11:00:00,121,11,6,4,0.03305
2017-01-08 12:00:00,99,9,3,2,0.0202
2017-01-08 13:00:00,115,5,1,0,0
2017-01-08 14:00:00,128,11,6,2,0.01562
2017-01-08 15:00:00,100,7,3,1,0.01
2017-01-08 16:00:00,117,11,6,3,0.02564
2017-01-08 17:00:00,126,8,5,4,0.03174
2017-01-08 18:00:00,171,18,7,2,0.01169
2017-01-08 19:00:00,154,11,2,1,0.00649
2017-01-08 20:00:00,139,6,3,0,0
2017-01-08 21:00:00,80,4,4,3,0.0375
2017-01-08 22:00:00,58,3,2,0,0
2017-01-08 23:00:00,53,3,2,0,0
2017-01-09 00:00:00,34,1,0,0,0
2017-01-09 01:00:00,23,2,1,1,0.04347
2017-01-09 02:00:00,10,0,0,0,0
2017-01-09 03:00:00,18,2,2,0,0
2017-01-09 04:00:00,28,2,1,1,0.03571
2017-01-09 05:00:00,41,0,0,0,0
2017-01-09 06:00:00,56,0,0,0,0
2017-01-09 07:00:00,58,4,4,2,0.03448
2017-01-09 08:00:00,83,3,3,3,0.03614
2017-01-09 09:00:00,84,9,8,6,0.07142
2017-01-09 10:00:00,96,4,1,1,0.01041
2017-01-09 11:00:00,83,6,3,3,0.03614
2017-01-09 12:00:00,114,19,10,7,0.0614
2017-01-09 13:00:00,119,17,11,6,0.05042
2017-01-09 14:00:00,99,7,2,2,0.0202
2017-01-09 15:00:00,97,6,2,1,0.0103
2017-01-09 16:00:00,123,10,5,2,0.01626
2017-01-09 17:00:00,98,8,4,3,0.03061
2017-01-09 18:00:00,130,11,6,5,0.03846
