hour,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-01-01 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 04:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 05:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 06:00:00,1,24.950,0.000,0.000,24.950,7.990,0.000,32.940
2017-01-01 07:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 08:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-01 09:00:00,3,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-01 10:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-01 11:00:00,3,94.850,0.000,0.000,94.850,0.000,0.000,94.850
2017-01-01 12:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 13:00:00,3,99.850,0.000,0.000,99.850,0.000,0.000,99.850
2017-01-01 14:00:00,3,119.800,0.000,0.000,119.800,0.000,0.000,119.800
2017-01-01 15:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-01 16:00:00,2,134.700,0.000,0.000,134.700,0.000,0.000,134.700
2017-01-01 17:00:00,4,114.800,0.000,0.000,114.800,0.000,0.000,114.800
2017-01-01 18:00:00,6,219.700,0.000,0.000,219.700,0.000,0.000,219.700
2017-01-01 19:00:00,6,219.700,-8.730,0.000,210.970,0.000,0.000,210.970
2017-01-01 20:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-01 21:00:00,6,179.700,0.000,0.000,179.700,12.990,0.000,192.690
2017-01-01 22:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-01 23:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-02 00:00:00,0,0.000,0.000,-97.840,-97.840,0.000,0.000,-97.840
2017-01-02 01:00:00,1,44.950,0.000,-18.720,26.230,0.000,0.000,26.230
2017-01-02 02:00:00,0,0.000,0.000,-34.950,-34.950,0.000,0.000,-34.950
2017-01-02 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-02 04:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-02 05:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-02 06:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-02 07:00:00,3,114.850,0.000,0.000,114.850,0.000,0.000,114.850
2017-01-02 08:00:00,1,44.950,-6.740,0.000,38.210,0.000,0.000,38.210
2017-01-02 09:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-02 10:00:00,4,194.750,0.000,0.000,194.750,0.000,0.000,194.750
2017-01-02 11:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-02 12:00:00,6,209.700,0.000,0.000,209.700,0.000,0.000,209.700
2017-01-02 13:00:00,3,114.850,-6.230,0.000,108.620,0.000,0.000,108.620
2017-01-02 14:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-02 15:00:00,4,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-02 16:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-02 17:00:00,8,274.600,0.000,0.000,274.600,0.000,0.000,274.600
2017-01-02 18:00:00,5,154.750,0.000,0.000,154.750,0.000,0.000,154.750
2017-01-02 19:00:00,7,254.650,0.000,0.000,254.650,0.000,0.000,254.650
2017-01-02 20:00:00,2,49.900,0.000,0.000,49.900,0.000,0.000,49.900
2017-01-02 21:00:00,4,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-02 22:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-02 23:00:00,0,0.000,0.000,-59.900,-59.900,0.000,0.000,-59.900
2017-01-03 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-03 01:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-03 02:00:00,0,0.000,0.000,-45.950,-45.950,0.000,0.000,-45.950
2017-01-03 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-03 04:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-03 05:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-03 06:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-03 07:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-03 08:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-03 09:00:00,3,94.850,0.000,0.000,94.850,0.000,0.000,94.850
2017-01-03 10:00:00,7,254.650,-11.230,0.000,243.420,0.000,0.000,243.420
2017-01-03 11:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-03 12:00:00,1,54.900,0.000,0.000,54.900,0.000,0.000,54.900
2017-01-03 13:00:00,4,159.800,0.000,0.000,159.800,0.000,0.000,159.800
