,year,month,day,total_sessions_x,total_carts,total_checkouts,total_orders_placed,total_conversion,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,total_visitors,total_sessions_y
0,2017,1,1,1718,116,60,38,0.0,42,1533.0,-9.0,0.0,1524.0,21.0,0.0,1545.0,1672,1718
1,2017,1,2,2117,139,82,51,0.0,55,2012.0,-13.0,-211.0,1788.0,0.0,0.0,1788.0,2070,2117
2,2017,1,3,1927,148,84,53,1.0,53,1932.0,-20.0,-91.0,1821.0,11.0,0.0,1832.0,1883,1927
3,2017,1,4,1935,146,77,54,1.0,59,2357.0,-74.0,0.0,2283.0,33.0,0.0,2316.0,1906,1935
4,2017,1,5,2071,141,75,51,1.0,56,2077.0,-29.0,-105.0,1944.0,24.0,0.0,1968.0,2024,2071
5,2017,1,6,1889,140,77,43,1.0,43,1613.0,-9.0,-70.0,1534.0,11.0,0.0,1545.0,1852,1889
6,2017,1,7,1758,158,108,69,1.0,73,2576.0,-32.0,0.0,2544.0,22.0,0.0,2566.0,1719,1758
7,2017,1,8,1983,136,64,32,0.0,38,1433.0,-31.0,-70.0,1332.0,0.0,0.0,1332.0,1939,1983
8,2017,1,9,1834,143,82,56,1.0,57,2203.0,0.0,0.0,2203.0,19.0,0.0,2222.0,1781,1834
9,2017,1,10,2814,128,75,46,1.0,49,1726.0,0.0,-20.0,1706.0,11.0,0.0,1717.0,2785,2814
10,2017,1,11,2249,119,52,37,0.0,39,1377.0,-9.0,0.0,1367.0,0.0,1.0,1368.0,2212,2249
11,2017,1,12,1742,121,65,48,1.0,51,1771.0,0.0,-11.0,1760.0,11.0,0.0,1771.0,1698,1742
12,2017,1,13,1510,114,65,47,1.0,52,1875.0,-20.0,-35.0,1820.0,35.0,0.0,1855.0,1470,1510
13,2017,1,14,1571,110,63,40,1.0,46,1614.0,0.0,0.0,1614.0,0.0,0.0,1614.0,1524,1571
14,2017,1,15,2084,115,60,37,0.0,41,1536.0,-37.0,-105.0,1393.0,11.0,1.0,1405.0,2044,2084
15,2017,1,16,2163,146,74,53,1.0,56,2203.0,0.0,-14.0,2189.0,0.0,0.0,2189.0,2123,2163
16,2017,1,17,1759,115,56,36,0.0,41,1501.0,-17.0,0.0,1483.0,0.0,1.0,1484.0,1726,1759
